,Not Sexually Active,Single and Sexually Active,Single and is Parent,Cohabilitating,Cohabilitating and is Parent,Married and Without Children,Married is a Parent,Divorced,Divorced and is a Parent,Prediction,ActualValue,ID,t
0,3.463619956080299e-06,0.00022707390219295421,0.11956463888563146,2.4666768586423713e-05,0.751530466725205,6.073660402310948e-06,0.12738379477821643,0.00013475292683555728,0.0011250687329737777,Cohabilitating and is Parent,Single and is Parent,1,8
1,1.6205519590651037e-05,0.00017626492383497307,0.7475872453772577,5.6436520869010514e-05,0.20947841901221972,1.6344114992793748e-05,0.04231990971219044,0.0003156260183087029,3.354880073602046e-05,Single and is Parent,Cohabilitating and is Parent,1,9
2,3.5312282305964385e-06,0.00021289091369376627,0.12487213375506881,4.6964000648652606e-05,0.7332625426650266,2.8215199303708086e-05,0.14085652854733394,0.0002464269514281597,0.0004707667392658308,Cohabilitating and is Parent,Cohabilitating and is Parent,1,10
3,3.181870164985273e-06,0.0001806814379383825,0.11927420670708398,6.286759492864391e-05,0.7415047457995262,3.5873381813072526e-05,0.13822204941072136,0.0002993240830512591,0.0004170697147722473,Cohabilitating and is Parent,Cohabilitating and is Parent,1,11
4,2.865863980599582e-06,0.00015328032180937816,0.11387909148214219,8.412112267610764e-05,0.7495227553856791,4.559087951773716e-05,0.1355795312457082,0.0003634222979836571,0.0003693414005030797,Cohabilitating and is Parent,Cohabilitating and is Parent,1,12
5,2.580172477643571e-06,0.00012998083227849476,0.10868296933725888,0.00011251315905113954,0.7573135975350761,5.791668095412855e-05,0.13293243888778009,0.00044106391107583023,0.0003269394840477145,Cohabilitating and is Parent,Cohabilitating and is Parent,1,13
6,2.3220142412810284e-06,0.00011017807996097091,0.10368166749722972,0.0001504265702025665,0.7648735856951459,7.354486197765633e-05,0.13028391299305217,0.0005350747467526192,0.00028928754143724513,Cohabilitating and is Parent,Cohabilitating and is Parent,1,14
7,2.088844561458241e-06,9.33547005470991e-05,0.09887068779498813,0.00020103463811219646,0.772198005909695,9.33525343899844e-05,0.12763674463869368,0.0006488622215108077,0.000255868717501673,Cohabilitating and is Parent,Cohabilitating and is Parent,1,15
8,1.8783374195009069e-06,7.906848591718355e-05,0.09424523015414361,0.0002685613265274383,0.7792807177807466,0.00011844756321655212,0.1249933437368985,0.0007865326682878306,0.00022621994684291657,Cohabilitating and is Parent,Cohabilitating and is Parent,1,16
9,1.688368527605926e-06,6.694171058002032e-05,0.0898002104062018,0.00035862635750623243,0.7861136471347688,0.00015022848897189924,0.1223556994921629,0.0009530313629146963,0.0001999266783660431,Cohabilitating and is Parent,Cohabilitating and is Parent,1,17
10,1.5169993988288029e-06,5.6651930301396014e-05,0.08553027182066644,0.00047870224045846034,0.7926861394241694,0.00019045965383789287,0.11972533070025757,0.0011543091635273855,0.00017661806738243798,Cohabilitating and is Parent,Cohabilitating and is Parent,1,18
11,1.3624624185650429e-06,4.7924057540213544e-05,0.08142978960049282,0.0006387187677745716,0.798984134066421,0.00024136519495439676,0.11710322317134807,0.0013975200784084709,0.00015596260064205744,Cohabilitating and is Parent,Single and is Parent,1,19
12,5.961854460121336e-06,0.9041843441514441,0.014966414045501362,0.06673734706116884,0.005026576515389792,0.006633905494261045,0.0021535133367509285,0.000281631609342725,1.0305931681004056e-05,Single and Sexually Active,Single and Sexually Active,8,8
13,7.20386110245568e-06,0.91258579785028,0.007998917493803161,0.06873837419413467,0.002310467778887779,0.0072156953497732644,0.0008963137966082247,0.000242849190841423,4.3804845688904965e-06,Single and Sexually Active,Single and Sexually Active,8,9
14,8.655762032424403e-06,0.9158965968836765,0.004251093875347704,0.07040209616765805,0.001056047740488401,0.007804464582568543,0.0003709613077619647,0.00020823222586562108,1.8514546007387373e-06,Single and Sexually Active,Cohabilitating,8,10
15,6.107198886097589e-07,0.06727897568157006,0.00036278953510036926,0.7815681248249962,4.1494373526171654e-07,0.136192995341768,0.0038367674929198218,0.010739646477921926,1.967498210000889e-05,Cohabilitating,Cohabilitating,8,11
