,precision,recall,f1-score,support
0,0.4701298701298701,0.6988416988416989,0.562111801242236,259.0
1,0.6080910240202275,0.7821138211382114,0.6842105263157894,1230.0
2,0.5121477162293488,0.555028962611901,0.5327268132423554,1899.0
3,0.1320754716981132,0.029914529914529916,0.04878048780487805,234.0
4,0.2913907284768212,0.2029520295202952,0.2392604676454595,1084.0
5,0.225,0.36818181818181817,0.2793103448275862,220.0
6,0.5968738640494365,0.5511916750587446,0.5731239092495637,2979.0
7,0.16666666666666666,0.09302325581395349,0.11940298507462685,86.0
8,0.17613636363636365,0.17580340264650285,0.17596972563859983,529.0
accuracy,0.49859154929577465,0.49859154929577465,0.49859154929577465,0.49859154929577465
macro avg,0.353167967211872,0.38411679930307285,0.3572107845601217,8520.0
weighted avg,0.48405563729747925,0.49859154929577465,0.4861183270430949,8520.0
