,precision,recall,f1-score,support
0,0.8673835125448028,0.9343629343629344,0.8996282527881041,259.0
1,0.8947772657450077,0.9471544715447154,0.9202211690363349,1230.0
2,0.8187221396731055,0.8704581358609794,0.8437978560490046,1899.0
3,0.7247706422018348,0.6752136752136753,0.6991150442477876,234.0
4,0.7047353760445683,0.7001845018450185,0.7024525682554372,1084.0
5,0.883248730964467,0.7909090909090909,0.8345323741007195,220.0
6,0.9454861111111111,0.914065122524337,0.929510155316607,2979.0
7,0.8,0.7906976744186046,0.7953216374269007,86.0
8,0.9006479481641468,0.7882797731568998,0.840725806451613,529.0
accuracy,0.8637323943661972,0.8637323943661972,0.8637323943661972,0.8637323943661972
macro avg,0.8377524140498938,0.8234805977595838,0.8294783181858343,8520.0
weighted avg,0.8649849528348883,0.8637323943661972,0.8636207600690956,8520.0
