,precision,recall,f1-score,support
0,0.8900343642611683,1.0,0.9418181818181818,259.0
1,0.9176379176379177,0.9601626016260163,0.9384187524831148,1230.0
2,0.8536102868447082,0.908899420747762,0.8803876562101506,1899.0
3,0.7533039647577092,0.7307692307692307,0.7418655097613883,234.0
4,0.7535335689045937,0.7869003690036901,0.7698555956678701,1084.0
5,0.9073170731707317,0.8454545454545455,0.8752941176470588,220.0
6,0.964095271951653,0.9103726082578046,0.93646408839779,2979.0
7,0.9324324324324325,0.8023255813953488,0.8625,86.0
8,0.9019189765458422,0.7996219281663516,0.8476953907815631,529.0
accuracy,0.8896713615023474,0.8896713615023474,0.8896713615023474,0.8896713615023474
macro avg,0.8748759840563063,0.8605006983800833,0.866033254751902,8520.0
weighted avg,0.8922860198621761,0.8896713615023474,0.8900304243801841,8520.0
