,precision,recall,f1-score,support
0,0.0,0.0,0.0,259.0
1,0.27645502645502645,0.16991869918699187,0.21047331319234644,1230.0
2,0.292743953294412,0.3696682464454976,0.3267395857575052,1899.0
3,0.0,0.0,0.0,234.0
4,0.0,0.0,0.0,1084.0
5,0.0,0.0,0.0,220.0
6,0.4051434960864704,0.7297750923128566,0.5210305572198922,2979.0
7,0.0,0.0,0.0,86.0
8,0.0,0.0,0.0,529.0
accuracy,0.36208920187793425,0.36208920187793425,0.36208920187793425,0.36208920187793425
macro avg,0.10826027509287876,0.14104022643837177,0.11758260624108265,8520.0
weighted avg,0.24681724468161573,0.36208920187793425,0.2853885772932098,8520.0
