,precision,recall,f1-score,support
0,0.29411764705882354,0.019305019305019305,0.03623188405797101,259.0
1,0.27787934186471663,0.12357723577235773,0.1710748452447946,1230.0
2,0.3147689768976898,0.40179041600842547,0.35299560490400184,1899.0
3,0.0,0.0,0.0,234.0
4,0.14832535885167464,0.02859778597785978,0.04795050270688322,1084.0
5,0.15151515151515152,0.022727272727272728,0.039525691699604744,220.0
6,0.402956421578038,0.7045988586774086,0.5127015144113337,2979.0
7,0.0,0.0,0.0,86.0
8,0.14516129032258066,0.017013232514177693,0.030456852791878174,529.0
accuracy,0.3596244131455399,0.3596244131455399,0.3596244131455399,0.3596244131455399
macro avg,0.19274713200985275,0.1464010912202801,0.13232632175738526,8520.0
weighted avg,0.29190491467144586,0.3596244131455399,0.2927544900236212,8520.0
