,precision,recall,f1-score,support
0,0.8823529411764706,0.9266409266409267,0.9039548022598871,259.0
1,0.8995398773006135,0.9536585365853658,0.925808997632202,1230.0
2,0.8465712876171683,0.9036334913112164,0.8741721854304636,1899.0
3,0.7342995169082126,0.6495726495726496,0.6893424036281179,234.0
4,0.7536764705882353,0.7564575645756457,0.7550644567219154,1084.0
5,0.8256880733944955,0.8181818181818182,0.821917808219178,220.0
6,0.9521480964023751,0.915072171869755,0.9332420403971243,2979.0
7,0.8441558441558441,0.7558139534883721,0.7975460122699386,86.0
8,0.9008620689655172,0.7901701323251418,0.8418932527693856,529.0
accuracy,0.8791079812206573,0.8791079812206573,0.8791079812206573,0.8791079812206573
macro avg,0.848810464056548,0.8299112493945435,0.8381046621475793,8520.0
weighted avg,0.8801253180179881,0.8791079812206573,0.8788284951246923,8520.0
