"","BirthYear","HasSibling","Age","Sex","SingleorDoubleParent","ID","t","EducationStat","FinalRelationshipStat","EmploymentStatus"
"1",1981,"0",16,"1","0",1,1,"8","1","2"
"2",1981,"0",16,"1","0",1,2,"3","2","0"
"3",1981,"0",16,"1","0",1,3,"3","2","2"
"4",1981,"0",16,"1","0",1,4,"3","2","1"
"5",1981,"0",16,"1","0",1,5,"4","4","0"
"6",1981,"0",16,"1","0",1,6,"4","4","2"
"7",1981,"0",16,"1","0",1,7,"4","4","2"
"8",1981,"0",16,"1","0",1,8,"9","2","2"
"9",1981,"0",16,"1","0",1,9,"9","4","2"
"10",1981,"0",16,"1","0",1,10,"4","4","2"
"11",1981,"0",16,"1","0",1,11,"4","4","2"
"12",1981,"0",16,"1","0",1,12,"4","4","2"
"13",1981,"0",16,"1","0",1,13,"4","4","2"
"14",1981,"0",16,"1","0",1,14,"4","4","2"
"15",1981,"0",16,"1","0",1,15,"4","4","2"
"16",1981,"0",16,"1","0",1,16,"4","4","2"
"17",1981,"0",16,"1","0",1,17,"4","4","2"
"18",1981,"0",16,"1","0",1,18,"4","4","2"
"19",1981,"0",16,"1","0",1,19,"4","2","2"
"20",1982,"1",15,"0","1",2,1,"8","0","0"
"21",1982,"1",15,"0","1",2,2,"10","0","0"
"22",1982,"1",15,"0","1",2,3,"10","0","0"
"23",1982,"1",15,"0","1",2,4,"10","1","0"
"24",1982,"1",15,"0","1",2,5,"10","1","0"
"25",1982,"1",15,"0","1",2,6,"10","1","0"
"26",1982,"1",15,"0","1",2,7,"6","1","0"
"27",1982,"1",15,"0","1",2,8,"6","1","2"
"28",1982,"1",15,"0","1",2,9,"6","1","1"
"29",1982,"1",15,"0","1",2,10,"6","1","1"
"30",1982,"1",15,"0","1",2,11,"11","1","2"
"31",1982,"1",15,"0","1",2,12,"11","1","2"
"32",1982,"1",15,"0","1",2,13,"7","1","2"
"33",1982,"1",15,"0","1",2,14,"7","3","2"
"34",1982,"1",15,"0","1",2,15,"7","3","2"
"35",1982,"1",15,"0","1",2,16,"7","3","2"
"36",1982,"1",15,"0","1",2,17,"7","5","2"
"37",1982,"1",15,"0","1",2,18,"7","5","2"
"38",1982,"1",15,"0","1",2,19,"7","5","2"
"39",1982,"0",15,"1","0",3,1,"8","2","0"
"40",1982,"0",15,"1","0",3,2,"3","2","0"
"41",1982,"0",15,"1","0",3,3,"4","2","0"
"42",1982,"0",15,"1","0",3,4,"9","2","0"
"43",1982,"0",15,"1","0",3,5,"9","2","0"
"44",1982,"0",15,"1","0",3,6,"4","2","0"
"45",1982,"0",15,"1","0",3,7,"10","2","0"
"46",1982,"0",15,"1","0",3,8,"4","2","2"
"47",1982,"0",15,"1","0",3,9,"10","2","2"
"48",1982,"0",15,"1","0",3,10,"10","2","2"
"49",1982,"0",15,"1","0",3,11,"10","2","1"
"50",1982,"0",15,"1","0",3,12,"10","2","1"
"51",1982,"0",15,"1","0",3,13,"10","2","0"
"52",1982,"0",15,"1","0",3,14,"6","4","2"
"53",1982,"0",15,"1","0",3,15,"10","2","2"
"54",1982,"0",15,"1","0",3,16,"10","2","2"
"55",1982,"0",15,"1","0",3,17,"10","6","2"
"56",1982,"0",15,"1","0",3,18,"6","6","2"
"57",1982,"0",15,"1","0",3,19,"6","6","2"
"58",1982,"0",15,"0","0",4,1,"8","0","0"
"59",1982,"0",15,"0","0",4,2,"8","0","0"
"60",1982,"0",15,"0","0",4,3,"3","4","1"
"61",1982,"0",15,"0","0",4,4,"10","2","0"
"62",1982,"0",15,"0","0",4,5,"10","2","0"
"63",1982,"0",15,"0","0",4,6,"9","2","0"
"64",1982,"0",15,"0","0",4,7,"9","2","0"
"65",1982,"0",15,"0","0",4,8,"9","2","0"
"66",1982,"0",15,"0","0",4,9,"9","2","0"
"67",1982,"0",15,"0","0",4,10,"5","2","1"
"68",1982,"0",15,"0","0",4,11,"10","2","0"
"69",1982,"0",15,"0","0",4,12,"5","4","0"
"70",1982,"0",15,"0","0",4,13,"5","4","0"
"71",1982,"0",15,"0","0",4,14,"5","4","0"
"72",1982,"0",15,"0","0",4,15,"5","4","0"
"73",1982,"0",15,"0","0",4,16,"5","2","0"
"74",1982,"0",15,"0","0",4,17,"5","2","2"
"75",1982,"0",15,"0","0",4,18,"10","2","2"
"76",1982,"0",15,"0","0",4,19,"10","2","2"
"77",1983,"0",14,"1","0",5,1,"8","1","1"
"78",1983,"0",14,"1","0",5,2,"8","1","2"
"79",1983,"0",14,"1","0",5,3,"3","5","0"
"80",1983,"0",14,"1","0",5,4,"4","5","0"
"81",1983,"0",14,"1","0",5,5,"9","6","2"
"82",1983,"0",14,"1","0",5,6,"9","6","2"
"83",1983,"0",14,"1","0",5,7,"9","6","2"
"84",1983,"0",14,"1","0",5,8,"5","6","2"
"85",1983,"0",14,"1","0",5,9,"10","6","2"
"86",1983,"0",14,"1","0",5,10,"10","6","2"
"87",1983,"0",14,"1","0",5,11,"10","6","2"
"88",1983,"0",14,"1","0",5,12,"10","8","2"
"89",1983,"0",14,"1","0",5,13,"6","8","2"
"90",1983,"0",14,"1","0",5,14,"6","8","2"
"91",1983,"0",14,"1","0",5,15,"6","8","2"
"92",1983,"0",14,"1","0",5,16,"10","8","2"
"93",1983,"0",14,"1","0",5,17,"10","8","0"
"94",1983,"0",14,"1","0",5,18,"10","8","2"
"95",1983,"0",14,"1","0",5,19,"6","6","2"
"96",1980,"0",17,"0","0",6,1,"8","1","0"
"97",1980,"0",17,"0","0",6,2,"8","1","0"
"98",1980,"0",17,"0","0",6,3,"8","1","2"
"99",1980,"0",17,"0","0",6,4,"1","1","0"
"100",1980,"0",17,"0","0",6,5,"1","1","0"
"101",1980,"0",17,"0","0",6,6,"1","1","0"
"102",1980,"0",17,"0","0",6,7,"1","1","0"
"103",1980,"0",17,"0","0",6,8,"1","1","0"
"104",1980,"0",17,"0","0",6,9,"1","1","0"
"105",1980,"0",17,"0","0",6,10,"1","1","0"
"106",1980,"0",17,"0","0",6,11,"1","1","0"
"107",1980,"0",17,"0","0",6,12,"1","1","0"
"108",1980,"0",17,"0","0",6,13,"1","1","0"
"109",1980,"0",17,"0","0",6,14,"1","1","0"
"110",1980,"0",17,"0","0",6,15,"1","1","0"
"111",1980,"0",17,"0","0",6,16,"1","1","0"
"112",1980,"0",17,"0","0",6,17,"1","1","0"
"113",1980,"0",17,"0","0",6,18,"1","1","0"
"114",1980,"0",17,"0","0",6,19,"1","1","0"
"115",1983,"0",14,"0","1",7,1,"8","0","0"
"116",1983,"0",14,"0","1",7,2,"8","1","1"
"117",1983,"0",14,"0","1",7,3,"3","1","1"
"118",1983,"0",14,"0","1",7,4,"10","1","0"
"119",1983,"0",14,"0","1",7,5,"10","2","0"
"120",1983,"0",14,"0","1",7,6,"10","2","1"
"121",1983,"0",14,"0","1",7,7,"10","2","0"
"122",1983,"0",14,"0","1",7,8,"6","2","2"
"123",1983,"0",14,"0","1",7,9,"6","2","2"
"124",1983,"0",14,"0","1",7,10,"6","4","2"
"125",1983,"0",14,"0","1",7,11,"6","4","2"
"126",1983,"0",14,"0","1",7,12,"6","4","2"
"127",1983,"0",14,"0","1",7,13,"6","4","2"
"128",1983,"0",14,"0","1",7,14,"6","4","2"
"129",1983,"0",14,"0","1",7,15,"6","4","2"
"130",1983,"0",14,"0","1",7,16,"6","4","2"
"131",1983,"0",14,"0","1",7,17,"6","4","2"
"132",1983,"0",14,"0","1",7,18,"6","4","2"
"133",1983,"0",14,"0","1",7,19,"6","4","2"
"134",1981,"1",16,"1","1",8,1,"8","0","0"
"135",1981,"1",16,"1","1",8,2,"10","0","0"
"136",1981,"1",16,"1","1",8,3,"10","1","0"
"137",1981,"1",16,"1","1",8,4,"10","1","0"
"138",1981,"1",16,"1","1",8,5,"10","1","1"
"139",1981,"1",16,"1","1",8,6,"6","1","1"
"140",1981,"1",16,"1","1",8,7,"6","1","1"
"141",1981,"1",16,"1","1",8,8,"6","1","2"
"142",1981,"1",16,"1","1",8,9,"6","1","2"
