,0
0,1
1,8
2,15
3,18
4,26
5,27
6,31
7,32
8,33
9,34
10,45
11,46
12,52
13,53
14,59
15,62
16,64
17,68
18,71
19,77
20,81
21,89
22,94
23,97
24,103
25,110
26,121
27,125
28,135
29,140
30,142
31,145
32,150
33,153
34,158
35,167
36,171
37,174
38,175
39,176
40,177
41,178
42,179
43,180
44,184
45,185
46,189
47,193
48,195
49,197
50,204
51,212
52,215
53,218
54,219
55,230
56,239
57,240
58,241
59,247
60,248
61,252
62,255
63,257
64,258
65,259
66,264
67,267
68,271
69,275
70,279
71,280
72,284
73,289
74,290
75,292
76,296
77,297
78,299
79,300
80,310
81,315
82,316
83,322
84,323
85,325
86,326
87,332
88,333
89,344
90,347
91,352
92,355
93,359
94,369
95,371
96,372
97,388
98,394
99,403
100,409
101,411
102,412
103,415
104,416
105,417
106,423
107,424
108,431
109,433
110,434
111,439
112,440
113,443
114,444
115,450
116,451
117,458
118,462
119,464
120,472
121,479
122,480
123,486
124,487
125,496
126,502
127,506
128,507
129,508
130,512
131,528
132,529
133,539
134,545
135,550
136,552
137,555
138,558
139,565
140,568
141,574
142,577
143,579
144,595
145,597
146,599
147,600
148,603
149,606
150,611
151,613
152,622
153,643
154,645
155,651
156,655
157,658
158,666
159,671
160,677
161,679
162,680
163,681
164,692
165,694
166,706
167,713
168,719
169,722
170,730
171,737
172,747
173,753
174,756
175,760
176,762
177,765
178,777
179,782
180,786
181,788
182,791
183,795
184,799
185,803
186,806
187,808
188,810
189,812
190,813
191,818
192,819
193,839
194,840
195,841
196,843
197,848
198,858
199,863
200,865
201,868
202,872
203,875
204,882
205,894
206,898
207,906
208,908
209,913
210,927
211,928
212,930
213,933
214,938
215,949
216,950
217,965
218,966
219,970
220,977
221,998
222,1002
223,1004
224,1018
225,1023
226,1026
227,1028
228,1030
229,1033
230,1042
231,1045
232,1048
233,1056
234,1062
235,1068
236,1069
237,1071
238,1072
239,1074
240,1075
241,1079
242,1085
243,1090
244,1092
245,1095
246,1105
247,1106
248,1107
249,1109
250,1114
251,1115
252,1124
253,1135
254,1139
255,1150
256,1158
257,1162
258,1175
259,1179
260,1189
261,1197
262,1207
263,1211
264,1214
265,1221
266,1223
267,1229
268,1234
269,1235
270,1236
271,1237
272,1243
273,1252
274,1269
275,1271
276,1272
277,1289
278,1299
279,1321
280,1331
281,1335
282,1339
283,1345
284,1351
285,1352
286,1353
287,1357
288,1363
289,1374
290,1377
291,1379
292,1386
293,1392
294,1393
295,1396
296,1398
297,1421
298,1423
299,1424
300,1427
301,1428
302,1430
303,1437
304,1445
305,1447
306,1453
307,1458
308,1460
309,1466
310,1469
311,1475
312,1476
313,1492
314,1495
315,1500
316,1508
317,1510
318,1512
319,1514
320,1515
321,1533
322,1537
323,1540
324,1552
325,1554
326,1565
327,1566
328,1570
329,1573
330,1579
331,1583
332,1585
333,1589
334,1609
335,1613
336,1616
337,1617
338,1621
339,1633
340,1642
341,1648
342,1654
343,1657
344,1658
345,1663
346,1668
347,1676
348,1689
349,1698
350,1704
351,1718
352,1719
353,1726
354,1727
355,1728
356,1730
357,1733
358,1738
359,1739
360,1740
361,1743
362,1744
363,1745
364,1755
365,1757
366,1768
367,1770
368,1778
369,1784
370,1787
371,1790
372,1792
373,1794
374,1796
375,1801
376,1802
377,1815
378,1821
379,1823
380,1826
381,1831
382,1833
383,1834
384,1838
385,1840
386,1841
387,1847
388,1850
389,1851
390,1860
391,1862
392,1867
393,1868
394,1874
395,1886
396,1887
397,1899
398,1919
399,1922
400,1923
401,1926
402,1928
403,1938
404,1939
405,1953
406,1962
407,1972
408,1980
409,1992
410,1993
411,2000
412,2003
413,2011
414,2017
415,2019
416,2023
417,2025
418,2029
419,2038
420,2047
421,2074
422,2078
423,2081
424,2087
425,2096
426,2098
427,2103
428,2114
429,2115
430,2118
431,2122
432,2124
433,2128
434,2130
435,2145
436,2156
437,2168
438,2184
439,2185
440,2190
441,2222
442,2227
443,2228
444,2234
445,2237
446,2243
447,2246
448,2247
449,2251
450,2274
451,2277
452,2283
453,2284
454,2285
455,2286
456,2290
457,2300
458,2303
459,2316
460,2330
461,2338
462,2342
463,2345
464,2347
465,2349
466,2351
467,2357
468,2360
469,2365
470,2367
471,2375
472,2376
473,2382
474,2384
475,2391
476,2402
477,2406
478,2407
479,2408
480,2417
481,2418
482,2419
483,2420
484,2421
485,2441
486,2444
487,2447
488,2448
489,2452
490,2454
491,2457
492,2464
493,2467
494,2476
495,2482
496,2484
497,2487
498,2497
499,2500
500,2502
501,2506
502,2507
503,2508
504,2517
505,2527
506,2530
507,2531
508,2532
509,2549
510,2551
511,2561
512,2562
513,2563
514,2565
515,2568
516,2571
517,2574
518,2575
519,2577
520,2580
521,2581
522,2586
523,2593
524,2595
525,2606
526,2609
527,2615
528,2625
529,2630
530,2631
531,2640
532,2642
533,2649
534,2650
535,2652
536,2668
537,2671
538,2683
539,2686
540,2687
541,2697
542,2699
543,2700
544,2701
545,2708
546,2714
547,2715
548,2719
549,2721
550,2727
551,2733
552,2751
553,2753
554,2757
555,2762
556,2769
557,2777
558,2785
559,2786
560,2802
561,2803
562,2811
563,2820
564,2822
565,2823
566,2827
567,2836
568,2842
569,2845
570,2852
571,2857
572,2869
573,2874
574,2881
575,2883
576,2884
577,2886
578,2887
579,2892
580,2893
581,2895
582,2906
583,2910
584,2913
585,2919
586,2930
587,2952
588,2959
589,2961
590,2968
591,2975
592,2980
593,2981
594,2982
595,2985
596,2994
597,3009
598,3018
599,3022
600,3028
601,3029
602,3031
603,3042
604,3055
605,3056
606,3058
607,3070
608,3077
609,3084
610,3086
611,3089
612,3090
613,3094
614,3107
615,3108
616,3110
617,3112
618,3114
619,3116
620,3125
621,3133
622,3134
623,3143
624,3147
625,3149
626,3156
627,3157
628,3163
629,3167
630,3177
631,3178
632,3180
633,3187
634,3196
635,3197
636,3204
637,3207
638,3208
639,3209
640,3210
641,3216
642,3217
643,3222
644,3223
645,3233
646,3246
647,3247
648,3257
649,3260
650,3261
651,3266
652,3286
653,3289
654,3301
655,3306
656,3312
657,3317
658,3322
659,3323
660,3327
661,3331
662,3332
663,3333
664,3341
665,3344
666,3352
667,3353
668,3354
669,3358
670,3364
671,3371
672,3372
673,3376
674,3377
675,3378
676,3380
677,3387
678,3394
679,3399
680,3401
681,3411
682,3414
683,3421
684,3425
685,3426
686,3427
687,3433
688,3438
689,3441
690,3449
691,3457
692,3461
693,3469
694,3475
695,3480
696,3487
697,3490
698,3491
699,3497
700,3500
701,3501
702,3510
703,3513
704,3520
705,3529
706,3540
707,3544
708,3545
709,3546
