,Not Sexually Active,Single and Sexually Active,Single and is Parent,Cohabilitating,Cohabilitating and is Parent,Married and Without Children,Married is a Parent,Divorced,Divorced and is a Parent,Prediction,ActualValue,ID,t
0,4.0774225172145855e-05,0.0027177867486733007,0.5895090692309574,0.0011784203891620632,0.3523738394035318,0.0012492803231420803,0.05291577955872853,9.585641418145682e-06,5.46447921439368e-06,Single and is Parent,Single and is Parent,1,8
1,1.0280909476368436e-05,0.0011146611875227786,0.5356252445075993,0.0007697547529306834,0.35157181604564325,0.0010889392359144509,0.10979202833614293,9.189078198902848e-06,1.8085946571475614e-05,Single and is Parent,Cohabilitating and is Parent,1,9
2,5.185725171765009e-06,0.0012287424944471604,0.44671020778051934,0.0011047826537449457,0.30380019600387714,0.0009590886222398331,0.24568315441735722,1.0499647220889146e-05,0.0004981426554218006,Single and is Parent,Cohabilitating and is Parent,1,10
3,1.0695949687353085e-06,0.00041224217133103584,0.33201710600257234,0.0005903274989551129,0.2479490678986962,0.0006838589293515933,0.41698941022259717,8.233595220447277e-06,0.0013486840863072848,Married is a Parent,Cohabilitating and is Parent,1,11
4,1.8994074188502384e-07,0.00011907836960823551,0.21246332156872139,0.0002715802011438311,0.17423116245827427,0.0004198201012024654,0.6093454829821241,5.558956061794287e-06,0.0031438054221220126,Married is a Parent,Cohabilitating and is Parent,1,12
5,2.9163777402035087e-08,2.9739948269540376e-05,0.11755316863590184,0.00010802643975893224,0.10585614024965685,0.00022283674299885923,0.7698906272730667,3.245068259133782e-06,0.006336186478310865,Married is a Parent,Cohabilitating and is Parent,1,13
6,4.015898265250292e-09,6.6613280298926296e-06,0.058330808489632555,3.853676934363374e-05,0.05767924377463941,0.00010607759335807794,0.8723841203920815,1.6988996012342178e-06,0.011452848737415509,Married is a Parent,Cohabilitating and is Parent,1,14
7,5.169811072517072e-10,1.3948723799863788e-06,0.027059183916520103,1.2852084920084978e-05,0.029381644751663657,4.720777769947559e-05,0.9241437132229091,8.315045592139509e-07,0.019353171352367266,Married is a Parent,Cohabilitating and is Parent,1,15
8,6.404097128059292e-11,2.810602296359073e-07,0.01207876858004255,4.124422401072823e-06,0.01440203681515026,2.0215976432654836e-05,0.9420252478417432,3.916091430357391e-07,0.03146893363081666,Married is a Parent,Cohabilitating and is Parent,1,16
9,7.748015329562427e-12,5.53112715085566e-08,0.00526598903282929,1.2927126868832976e-06,0.00689479016760624,8.455225842515317e-06,0.9378532671286711,1.8013177747153872e-07,0.04997597028156699,Married is a Parent,Cohabilitating and is Parent,1,17
10,9.20217703914854e-13,1.0685514537482576e-08,0.00225374508049423,3.977483959630462e-07,0.003240303890686284,3.471548633053364e-06,0.9165893363651878,8.133835742637921e-08,0.07791265334181054,Married is a Parent,Cohabilitating and is Parent,1,18
11,1.0717454749108907e-13,2.024315488111596e-09,0.0009458681337963084,1.2000955459797246e-07,0.001493314878159562,1.3977266836900274e-06,0.8784472066668145,3.60164930022518e-08,0.11911205454407549,Married is a Parent,Single and is Parent,1,19
12,0.02823591628116582,0.8108409259897423,1.1284880052117212e-07,0.15762036769787777,1.728723849558613e-08,0.0027384175568228313,2.950207708212767e-07,0.0005639473112881503,6.293165002894122e-12,Single and Sexually Active,Single and Sexually Active,8,8
13,0.017848804686851252,0.8066810222754711,2.7466220242857807e-07,0.17083047313048416,3.841335605311082e-08,0.003918904998326653,2.0934217685957046e-07,0.0007202724795105146,1.1620898336816568e-11,Single and Sexually Active,Single and Sexually Active,8,9
14,0.011221047943085517,0.7981509741629965,6.648411287130676e-07,0.18413459042289437,8.488987790329422e-08,0.005577593116525059,1.47733132777759e-07,0.0009148968690174501,2.1341616616039627e-11,Single and Sexually Active,Cohabilitating,8,10
15,0.0070238591762503255,0.7862965192185388,1.6023410358776214e-06,0.1976166412303296,1.8678743707206484e-07,0.007904001617379555,1.0380473784169693e-07,0.0011570857852666483,3.9024111422783837e-11,Single and Sexually Active,Cohabilitating,8,11
16,0.004380103475410835,0.771709515310357,3.847319281378026e-06,0.21128946527907536,4.09454467825527e-07,0.011158695031726906,7.266455889032141e-08,0.0014578913940322888,7.108941314075325e-11,Single and Sexually Active,Cohabilitating,8,12
17,0.0027215591391805075,0.7546510629703811,9.204206079059327e-06,0.22509041676714284,8.943106371196264e-07,0.015696565160344123,5.068190586045627e-08,0.0018302466352962624,1.2903325885795636e-10,Single and Sexually Active,Cohabilitating,8,13
18,0.0016845354761778485,0.735135678826207,2.1935291933244847e-05,0.23887194550691696,1.94580877926829e-06,0.02199504354946272,3.521374495382911e-08,0.0022888800934711953,2.3330679246407376e-10,Single and Sexually Active,Single and Sexually Active,8,14
19,0.001038087088608513,0.7129844471356132,5.2046525912306775e-05,0.25238557553770946,4.215054194435768e-06,0.03068571642654455,2.435918383986913e-08,0.002849887452238414,4.1999521465717896e-10,Single and Sexually Active,Single and Sexually Active,8,15
20,0.00063634659869869,0.6878582039473469,0.00012284185973075734,0.26525905840194053,9.08264786794576e-06,0.04258474178755765,1.6761757821479727e-08,0.0035297072430135875,7.520861848890261e-10,Single and Sexually Active,Single and Sexually Active,8,16
21,0.0003875316639489212,0.6592821458651812,0.00028804115777090306,0.27696790457802467,1.9443539175153526e-05,0.05871178677590583,1.14585567062861e-08,0.004343133623472779,1.337963939146263e-09,Single and Sexually Active,Single and Sexually Active,8,17
22,0.0002340550003903867,0.6266729844354785,0.0006698228795777628,0.28680448065060865,4.127959490950415e-05,0.08027750042841518,7.768506616769968e-09,0.0052998668815347275,2.3605786269691267e-09,Single and Sexually Active,Single and Sexually Active,8,18
23,0.0001398661151579492,0.5893787707935507,0.001541165454264719,0.2938503931049252,8.671203761497001e-05,0.10860410557417405,5.211095343899473e-09,0.006398977588465756,4.120751168140515e-09,Single and Sexually Active,Cohabilitating,8,19
24,0.0007731709745236559,0.0005945928776297708,0.6026540585404064,0.008932355066834237,0.38701475687852116,2.2607717293282556e-06,2.794154917779451e-05,5.304840811857449e-08,8.102927695251293e-07,Single and is Parent,Single and is Parent,15,8
25,0.00037567874522568954,0.0002798877071156244,0.5816496139101022,0.007637339943802997,0.4099833265380938,3.625397308165958e-06,6.805779628721394e-05,1.0937251096811832e-07,2.360589553371354e-06,Single and is Parent,Single and is Parent,15,9
26,0.00018204554398515074,0.0001313924139183959,0.5598570457788211,0.006512393151041609,0.43313892101566753,5.7979817986458606e-06,0.00016532084989859114,2.2488803766607063e-07,6.858376831346131e-06,Single and is Parent,Single and is Parent,15,10
27,8.798490308761333e-05,6.15207239477172e-05,0.5374740873405928,0.005538648173396537,0.4564076388079417,9.248318249864252e-06,0.00040053645968033666,4.6119990141451864e-07,1.9874073201957093e-05,Single and is Parent,Single and is Parent,15,11
28,4.240810197836673e-05,2.872666116268726e-05,0.5145771321157743,0.004697637654609251,0.4796132440359856,1.47116455589368e-05,0.0009677630777542757,9.432452464060604e-07,5.7433461930220146e-05,Single and is Parent,Single and is Parent,15,12
29,2.037516248887599e-05,1.3370893695499002e-05,0.4910831164079431,0.003971612063383907,0.5023900154767005,2.332766714161504e-05,0.0023308139708931603,1.922966039055329e-06,0.00016544539171426892,Cohabilitating and is Parent,Single and is Parent,15,13
30,9.74630629624144e-06,6.196157517649665e-06,0.46660163242622466,0.003343034487345424,0.5239351815101049,3.682714876452148e-05,0.005588984510367435,3.903060949057727e-06,0.00047449439243007894,Cohabilitating and is Parent,Single and is Parent,15,14
31,4.627849898402473e-06,2.8502614388437906e-06,0.4400861876557049,0.00279328420949323,0.5423933515218813,5.771186594905794e-05,0.0133032708448783,7.863923601380276e-06,0.0013508518671545323,Cohabilitating and is Parent,Single and is Parent,15,15
32,2.16596680167408e-06,1.2923503581914079e-06,0.40913114876395623,0.002300502547185996,0.553457753526404,8.914468588422481e-05,0.031211689867943808,1.5617321861424777e-05,0.0037906849696043928,Cohabilitating and is Parent,Single and is Parent,15,16
33,9.83224009916507e-07,5.683344552130869e-07,0.36890581460188676,0.0018376316353528421,0.5477504494588333,0.0001335530928417637,0.07102386151980977,3.008167287848444e-05,0.010317056459932075,Cohabilitating and is Parent,Single and is Parent,15,17
