"EMP_HOURS_1997.48","EMP_HOURS_1998.48","EMP_HOURS_1999.48","EMP_HOURS_2000.48","EMP_HOURS_2001.48","EMP_HOURS_2002.48","EMP_HOURS_2003.48","EMP_HOURS_2004.48","EMP_HOURS_2005.48","EMP_HOURS_2006.48","EMP_HOURS_2007.48","EMP_HOURS_2008.48","EMP_HOURS_2009.48","EMP_HOURS_2010.48","EMP_HOURS_2011.48","EMP_HOURS_2012.48","EMP_HOURS_2013.48","EMP_HOURS_2014.48","EMP_HOURS_2015.48","EMP_HOURS_2016.48","EMP_HOURS_2017.48","EMP_HOURS_2018.48","EMP_HOURS_2019.48","SCH_COLLEGE_STATUS_2012.12","SCH_COLLEGE_STATUS_2013.12","SCH_COLLEGE_STATUS_2014.12","SCH_COLLEGE_STATUS_2015.12","SCH_COLLEGE_STATUS_2016.12","SCH_COLLEGE_STATUS_2017.12","SCH_COLLEGE_STATUS_2018.12","SCH_COLLEGE_STATUS_2019.12","MAR_STATUS_1997.12","MAR_STATUS_1998.12","MAR_STATUS_1999.12","MAR_STATUS_2000.12","MAR_STATUS_2001.12","MAR_STATUS_2002.12","MAR_STATUS_2003.12","MAR_STATUS_2004.12","MAR_STATUS_2005.12","MAR_STATUS_2006.12","MAR_STATUS_2007.12","MAR_STATUS_2008.12","MAR_STATUS_2009.12","MAR_STATUS_2010.12","MAR_STATUS_2011.12","MAR_STATUS_2012.12","MAR_STATUS_2013.12","MAR_STATUS_2014.12","MAR_STATUS_2015.12","MAR_STATUS_2016.12","MAR_STATUS_2017.12","MAR_STATUS_2018.12","MAR_STATUS_2019.12","PUBID","YSAQ-299","YOUTH_NONR1INHH.01","YOUTH_PARENTGUAR.01","KEY!SEX","KEY!AGEDOL","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","CV_SAMPLE_TYPE","YOUTH_SIBID01.01","YOUTH_SIBID02.01","YOUTH_SIBID03.01","YOUTH_SIBID04.01","KEY!RACE_ETHNICITY","YSAQ-299","YSAQ-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ-299","YSAQ-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ-299","YSAQ-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ-299","YSAQ-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","YSAQ2-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","YSAQ2-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","CV_BIO_CHILD_HH_U18","CV_BIO_CHILD_NR_U18"
20,30,8,20,45,-4,50,50,70,90,35,35,40,40,40,40,40,40,40,-4,-4,-4,-4,1,1,1,1,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4,1,0,1,1,2,15,8,-4,-4,1,-4,-4,-4,-4,4,-4,0,8,-4,-4,-4,0,10,-4,-4,-4,0,10,-4,-4,-4,0,10,-4,-4,0,-4,10,-4,-4,6,-4,-4,0,-4,6,-4,-4,0,-4,6,-4,-4,0,-4,6,-4,-4,0,6,-4,-4,0,6,-4,-4,0,6,-4,-4,0,6,-4,-4,0,6,-4,-4,0,-4,-4,0,-4,-4,1,-5,-5,-5,-5
-4,-4,-4,-3,35,24,25,35,40,35,80,80,43,60,55,65,65,56,56,-3,-3,50,70,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,14,8,-4,-4,1,-4,-4,-4,-4,2,-4,0,8,-4,-4,-4,1,8,-4,-4,-4,1,10,-4,-4,-4,1,9,-4,-4,-4,-4,10,-4,-4,10,-4,-4,-4,1,10,-4,-4,-4,-4,4,-4,-4,-4,-1,-5,-5,-5,-5,-5,-5,-5,-5,4,-4,-4,1,4,-4,-4,0,4,-4,-4,1,4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,24,40,41,40,41,-3,-3,45,-3,30,48,48,45,45,40,80,40,41,40,-4,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,-4,0,1,2,13,8,-4,-4,1,-4,-4,-4,-4,2,0,-4,8,-4,-4,-4,1,8,-4,-4,-4,-1,8,-4,-4,-4,1,9,-4,-4,-4,1,9,-4,-4,5,-4,-4,-4,0,5,-4,-4,-4,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,1,0,1,-5,-5,-5,-5,5,1,0,1,1,0,-4,-5,-5,-5,2,0,3,0
6,34,-4,62,20,-4,67,39,40,35,35,46,42,40,40,40,46,41,41,45,-4,40,40,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,0,0,1,2,15,8,-4,-4,1,-4,-4,-4,-4,2,-4,1,8,-4,-4,-4,1,3,-4,-4,-4,1,3,-4,-4,-4,1,3,-4,-4,-4,-4,4,1,0,4,1,0,-4,-4,4,1,0,-4,-4,9,1,0,-4,-4,9,1,0,1,4,1,0,1,4,1,0,1,4,2,0,1,4,2,0,1,4,2,0,1,2,0,-4,1,1,-4,1,1,1,1
-4,-4,-4,-4,-4,-4,-4,55,47,44,40,129,57,57,63,63,48,48,48,-3,-3,57,68,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,5,1,1,1,1,14,8,-4,-4,1,-4,-4,-4,-4,2,-4,1,8,-4,-4,-4,0,8,-4,-4,-4,0,3,-4,-4,-4,-1,3,-4,-4,-4,-4,3,-4,-4,3,-4,-4,-4,-4,3,-4,-4,-4,1,3,-4,-4,-4,-4,3,-4,-4,1,3,-4,-4,1,3,-4,-4,1,3,-4,-4,0,3,1,0,1,3,1,0,1,2,0,-4,2,0,-4,2,0,2,0
-4,-4,-4,25,20,76,-4,70,40,36,30,30,42,30,35,35,35,-4,-4,-4,20,20,35,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,0,0,1,2,14,8,-4,-4,1,7,-4,-4,-4,2,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,0,10,-4,-4,-4,0,4,-4,-4,-4,-4,4,-4,-4,4,-4,-4,-4,-4,4,-4,-4,-4,-4,4,-4,-4,-4,-4,4,-4,-4,-1,10,-4,-4,1,10,1,0,1,4,1,0,1,4,1,0,-1,4,1,0,-1,1,0,-4,2,0,-4,2,0,2,0
-4,-4,-4,-4,-4,80,-4,-4,-4,-3,40,-4,53,-4,-4,-4,-4,-4,23,6,6,-4,-4,1,1,1,1,1,1,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,-4,7,-4,0,1,1,13,8,-4,-4,1,6,-4,-4,-4,2,0,-4,8,-4,-4,-4,1,8,-4,-4,-4,0,8,-4,-4,-4,0,1,-4,-4,-4,0,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,-4,-4,1,1,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,1,2,-4,-4,1,2,-4,-4,0,-5,-5,-5,-4,-4,-4,-5,-5,1,0
14,15,8,8,-4,20,55,40,30,35,-4,65,65,50,50,55,55,-4,40,60,60,60,60,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,0,1,1,2,15,8,-4,-4,1,9,10,-4,-4,4,-4,1,8,-4,-4,-4,1,10,-4,-4,-4,1,10,-4,-4,-4,1,4,-4,-4,-4,-4,10,-4,-4,6,-4,-4,-4,1,6,-4,-4,-4,-4,6,-4,-4,-4,1,6,-4,-4,1,11,-4,-4,1,-5,-5,-5,-5,7,-4,-4,1,-5,-5,-5,-5,7,-4,-4,1,-5,-5,-5,-4,-4,-4,-5,-5,1,0
-4,-4,-4,-4,-4,-4,-4,-4,-4,44,28,28,40,40,65,65,65,60,60,75,75,55,55,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,9,0,1,1,1,14,8,-4,-4,1,8,10,-4,-4,4,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,0,10,-4,-4,-4,0,10,-4,-4,1,-4,10,-4,-4,10,-4,-4,-4,1,10,-4,-4,-4,-4,6,-4,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,-2,11,-4,-4,1,11,-4,-4,0,7,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,-4,-4,-4,-4,-4,-4,24,46,41,40,40,40,-4,35,50,50,50,50,45,45,1,1,1,1,1,1,1,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,10,-4,1,1,1,12,8,-4,-4,1,8,9,-4,-4,4,-4,-4,8,-4,-4,0,-4,8,-4,-4,-4,0,8,-4,-4,-4,0,8,-4,-4,0,-4,10,-4,-4,10,-4,-4,0,-4,10,-4,-4,0,-4,10,-4,-4,0,-4,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,1,0
